No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,,
600,@biannasution,"""Ya ampun kak makan apa sih kok bisa cantik banget""",Non-bullying,10 April 2021,@raisa6690,,
601,@dhinie_jm,"""Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha""",Non-bullying,10 April 2021,@raisa6690,,
602,@ikaa6696,"""Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu""",Non-bullying,10 April 2021,@raisa6690,,
603,@atharidho_,"""lu lebih gak sopan, mukak lu kayak babi!""",Bullying,3 Maret 2021,@lutiagizal,,
604,@ariessw,"""ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in""",Non-bullying,17 Maret 2021,@raisa6690,,
605,@otiv_real,"""Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran""",Non-bullying,17 Maret 2021,@raisa6690,,
606,@fahrirasihan,"""Bukan keliatan ragu, tapi keliatan cantik""",Non-bullying,17 Maret 2021,@raisa6690,,
607,@sessy_abramsz,"""Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald""",Non-bullying,17 Maret 2021,@raisa6690,,
608,@shintashanditya,"""Raisa pake baju merah sumpahh cantik bgttt""",Non-bullying,17 Maret 2021,@raisa6690,,
609,@ocnalita,"""Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget""",Non-bullying,17 Maret 2021,@raisa6690,,
610,@nissaginting,"""Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya""",Non-bullying,17 Maret 2021,@raisa6690,,
611,@ayyuintn,"""Ka yaya kalo ragu tetep secantik itu yah :"")""",Non-bullying,17 Maret 2021,@raisa6690,,
612,@arsheilaa22,"""Ragu aja cantik kan kak, apalagi kalau serius""",Non-bullying,17 Maret 2021,@raisa6690,,
613,@uswaaahs,"""Ngga alay. Ngga muluk muluk. Natural. Sukaaaa",Non-bullying,28 Juli 2020,@isyanasarasvati,,
614,@yolasinamo,"""seru bgt gemoy, tim berkebun plus tim alam bgt niiii""",Non-bullying,28 Juli 2020,@isyanasarasvati,,
615,@denisyundaa,"""nikmatnya bisa menghirup oksigen dengan bebas ya :)""",Non-bullying,28 Juli 2020,@isyanasarasvati,,
616,@dessysintia_,"""Slide kedua mukanya mau gaya apa aja tetep cantikk""",Non-bullying,28 Juli 2020,@isyanasarasvati,,
617,@rahmatikarsyita,"""mba isyana foto gelap2an gini aja aesthetic bgt ya""",Non-bullying,28 Juli 2020,@isyanasarasvati,,
618,@no_chuuuuu,"""mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa""",Non-bullying,15 Agustus 2020,@isyanasarasvati,,
619,@dinaeka33,"""Ga Taulah aku juga suka banget sama gayanya isyan""",Non-bullying,15 Agustus 2020,@isyanasarasvati,,
620,@raskadipsy,"""Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu""",Non-bullying,15 Agustus 2020,@isyanasarasvati,,
621,@astri.yanti22491,"""Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…""",Non-bullying,04 April 2020,@isyanasarasvati,,
622,@hasana_usna,"""Congrats kak, kamu memang pantes mendapatkannya""",Non-bullying,04 April 2021,@isyanasarasvati,,
623,@kazuyaisaam,"""Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana""",Non-bullying,28 September 2020,@isyanasarasvati,,
624,@adepraagoy,"""Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif""",Non-bullying,28 September 2020,@isyanasarasvati,,
625,@grapepush0a,"""Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan""",Non-bullying,28 September 2020,@isyanasarasvati,,
626,@mahrani29,"""Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren""",Non-bullying,28 September 2020,@isyanasarasvati,,
627,@bekkkyyyyy,"""yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt""",Non-bullying,28 September 2020,@isyanasarasvati,,
628,@isyanaku,"""Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku""",Non-bullying,28 September 2020,@isyanasarasvati,,
629,@eitralala,"""makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa""",Non-bullying,28 September 2020,@isyanasarasvati,,
630,@isyanation.batam,"""Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!""",Non-bullying,28 September 2020,@isyanasarasvati,,
631,@yolasinamo,"""hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka""",Non-bullying,28 September 2020,@isyanasarasvati,,
632,@nikiwonoto,"""senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,
633,@embunwibisono,"""Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,
634,@wardah_eka,"""congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,
635,@nurul.hikmah396,"""Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,
636,@syrobby_,"""CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,
637,@erminah20,"""ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA""",Bullying,3 Maret 2021,@lutiagizal,,
638,@sun.molorteam,"""Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat""",Bullying,3 Maret 2021,@lutiagizal,,
639,@muyasashop,"""Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
640,@amalia.oktafina,"""definisi minat ketemu bakat ketemu kerja keras""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
641,@arfrakim,"""@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
642,@nikedamyan,"""MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
643,@mentariprajna,"""Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
644,@a.nadityaaa_,"""Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
645,@ana.dani,"""Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
646,@_sigesrek,"""aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
647,@safronlux.id,"""AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
648,@rikzikmuktyana,"""paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
649,@antoniusbennys,"""Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
650,@dikha.wirasathya,"""Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah""",Non-bullying,13 Februari 2021,@isyanasarasvati,,
